,title,startYear,runtimeMinutes,genres,actor_or_actress,director,producer,averageRating,numVotes,adult,backdrop_path,original_language,overview,poster_path,production_countries,release_date,production_companies_name
0,The Devil,1915,,Drama,,"Reginald Barker (1886, 1945), Thomas H. Ince (1880, 1924)",,8.4,21,False,/51GGMpo2wDg6PsAwjg6U0p8ByOb.jpg,en,"The Devil, in the guise of a human, meets a young couple who remark upon looking at a Renaissance painting of a martyr that Evil could never triumph over Good. The Devil, taking this as a challenge, decides to bring about the couple's downfall.",/4dy5FxYB4ezcnT7uDbLs5yhnkVj.jpg,['US'],1915-04-01,[]
1,The Strange Case of Mary Page,1916,,,,"J. Charles Haydon (1876, 1943)",,8.8,13,False,/txR9D09SoIQWDLVjpK0G54XJs9P.jpg,en,A 15-episode movie serial.,/87TdHd3UPAQMimaKnr4kS1q1XQp.jpg,['US'],1916-01-24,['The Essanay Film Manufacturing Company']
2,"Womanhood, the Glory of the Nation",1917,70.0,"Drama,War",,"J. Stuart Blackton (1875, 1941), William P.S. Earle (1882, 1972)",,8.4,21,False,/mUHVrxtl8vsJemLRogNvX3xi49e.jpg,en,"When the nation of Ruthania declares war on the United States, an army of enemy soldiers invades the U.S. and captures New York. But the American forces have prepared adequately for such an event, and hidden booby traps, trick fortifications, and remote-controlled bombs...",/25B9XWZymkgMyeXAyKi3iWzb4TU.jpg,['US'],1917-04-09,['Vitagraph Company of America']
3,Álarcosbál,1917,,,,"Alfréd Deésy (1877, 1961)",,8.7,18,False,,hu,,/1B5co12yoqCuhYgrTZKueWhc60Y.jpg,[],1918-03-11,[]
4,Ruth of the Rockies,1920,300.0,Western,"S.J. Bingham (1880, 1962), Gilbert Holmes (1895, 1936), Harry Maynard (1898, 1976)","George Marshall (1891, 1975)",,8.7,18,False,/d30NtFTnfUusMOex4irY6evp3GG.jpg,en,"A young woman finds a trunk full of stolen diamonds, takes them and heads westward, pursued by the thief.",/eGx2Q59PQJm39zaqizzxOChFlTD.jpg,['US'],1920-08-29,['Ruth Roland Serials']
5,A Boy of Flanders,1924,70.0,"Drama,Family","Ainse Charland (\N, \N)","Victor Schertzinger (1888, 1941)",,8.4,32,False,/nLvDjyMH8GR5mcVfjKHPNu0I8f0.jpg,en,An orphan boy wins a prize for his drawing.,/sHSQN4TvIg2dK9oz0Gu6nNgF1BP.jpg,['US'],1924-04-06,['Jackie Coogan Productions']
6,Les lumières de la ville,1931,87.0,"Comedy,Drama,Romance","Jack Alexander (\N, \N), Victor Alexander (1897, \N), T.S. Alexander (\N, \N)","Charles Chaplin (1889, 1977)",,8.5,206887,False,/n0Cju2Eu3VyrUFl32thblHFWznA.jpg,en,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,['US'],1931-02-01,"['Charles Chaplin Productions', 'United Artists']"
7,It's a Wise Child,1931,83.0,Comedy,,"Robert Z. Leonard (1889, 1968)",,8.5,82,False,/7po2NS0afg87SzrCVRwP3Vw1BQF.jpg,en,"In this comedy, a conservative family becomes alarmed when they begin believing their daughter is pregnant.",/9y82gwK4h0qXpNIMVIglBTQ9hOf.jpg,['US'],1931-04-10,"['Cosmopolitan Productions', 'Metro-Goldwyn-Mayer']"
8,Paprika,1932,93.0,Comedy,"Franciska Gaal (1904, 1973), Claire Glib (\N, \N)","Carl Boese (1887, 1958)","Alberto Giacalone (\N, 1980), Viktor Klein (\N, \N)",8.7,11,False,,de,"When Ilona visits her married friend Otti, she is just delighted to discover that the man she likes is not other than Otti's brother-in-law, Paul. As he is in need of a maid, she disguises herself as such to try to enamour him.",/cTeRmijkx5lc1Ge1EQyeU1Y1UVP.jpg,['DE'],1932-11-04,[]
9,Les temps modernes,1936,87.0,"Comedy,Drama,Romance","Cecil Reynolds (1880, 1947)","Charles Chaplin (1889, 1977)",,8.5,272844,False,/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg,en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,/smggAeGHRjKy85h6BzF0eTeDrFW.jpg,['US'],1936-02-05,"['Charles Chaplin Productions', 'United Artists']"
